HD,constellation,Star,ColorIndex,Distance,AbsMag
65907,Carina,,0.573,16.1917098446,4.5435364366
67228,Cancer,,0.642,23.3317778815,3.4602608335
67523,Puppis,Tureis,0.458,19.234468167,1.4095990872
67767,Cancer,,0.825,41.9815281276,2.6147087857
68146,Puppis,,0.488,22.4870699348,3.7703356472
68255,Cancer,,0.531,25.5689082076,2.6314390798
68456,Carina,,0.437,21.3903743316,3.088908076
69548,Lynx,,0.421,31.6756414317,3.3863729095
69830,Puppis,,0.754,12.5817815803,5.4512892922
69897,Cancer,,0.487,18.1257930034,3.8385149198
70060,Puppis,,0.222,28.5225328009,2.1640595588
70958,Hydra,,0.478,27.2108843537,3.4362867171
71030,Cancer,,0.448,44.964028777,2.8456739146
71155,Hydra,,-0.012,38.3288616328,0.9923703955
71196,Puppis,,0.402,33.9443312967,3.3561637125
71243,Chamaeleon,,0.413,19.4552529183,2.604815595
71701,Chamaeleon,,1.161,47.1253534402,0.9737268978
71878,Volans,,1.132,33.1016219795,1.1707536264
72037,UrsaMajor,,0.207,48.4730974309,2.0424961399
72291,Lynx,,0.402,37.3134328358,3.3406739701
72905,UrsaMajor,,0.618,14.2714428429,4.8576605875
72945,Cancer,,0.53,26.5392781316,3.7905544706
73752,Pyxis,,0.72,19.9203187251,3.5535185857
74198,Cancer,Asellus Borealis,0.01,48.5908649174,1.2272268521
74442,Cancer,Asellus Australis,1.083,41.7188151856,0.8383401702
74874,Hydra,,0.685,41.4421881475,0.2927866095
74956,Vela,,0.043,24.4498777506,-0.01138346
75528,Cancer,,0.669,39.9680255795,3.3514365268
75732,Cancer,Copernicus,0.869,12.5313283208,5.4700144568
76294,Hydra,,0.978,46.2107208872,-0.2137137178
76543,Cancer,,0.149,49.0436488475,1.7670861289
76582,Cancer,,0.209,49.2610837438,2.2174801896
76644,UrsaMajor,Talitha,0.223,14.6370023419,2.2927392884
76653,Vela,,0.481,24.148756339,3.7855261525
76932,Hydra,,0.521,21.3219616205,4.1558642136
76943,Lynx,,0.463,16.431153467,2.8816597401
77370,Carina,,0.417,26.1780104712,3.0803168146
78045,Volans,,0.145,38.1097560976,1.0948191535
78154,UrsaMajor,,0.489,20.4624514017,3.2452116951
78209,UrsaMajor,,0.288,29.3083235639,2.1250451125
78362,UrsaMajor,,0.381,37.3273609556,1.809863568
78366,Lynx,,0.585,19.1387559809,4.5404314739
78418,Cancer,,0.654,31.2695434647,3.4743922971
79028,UrsaMajor,,0.605,19.5618153365,3.7229542258
79096,Cancer,,0.731,20.4792135982,4.9334336214
79439,UrsaMajor,DD UMa,0.199,36.2976406534,2.0006080159
79469,Hydra,,-0.06,39.4632991318,0.9090330527
79837,Octans,,0.306,48.2392667631,2.0129965105
80007,Carina,Miaplacidus,0.07,34.0831629175,-0.9926994525
80081,Lynx,,0.066,37.3831775701,0.9566189318
80218,Cancer,,0.487,39.2003136025,3.643552293
80290,UrsaMajor,,0.436,29.0023201856,3.8278362858
80671,Carina,,0.415,33.5232986926,2.7532662668
81809,Hydra,,0.642,31.2402374258,2.9064283707
81858,Leo,,0.605,34.4234079174,2.7157306836
81937,UrsaMajor,,0.36,23.1481481481,1.8274187341
81997,Hydra,,0.411,17.0998632011,3.4250368197
82189,UrsaMajor,,0.53,49.850448654,2.2816546434
82210,UrsaMajor,DK UMa,0.781,32.3729362253,1.9890895415
82328,UrsaMajor,,0.475,13.4861766689,2.5205557768
82434,Vela,,0.371,18.5563184264,2.257540918
82885,LeoMinor,SV LMi,0.77,11.1794298491,5.1579017245
83287,Lynx,,0.223,38.3877159309,2.3590386382
83446,Vela,,0.173,32.9489291598,1.7507934771
83808,Leo,Subra,0.516,41.4593698176,0.4318865173
84107,Leo,,0.111,48.828125,2.1966497615
84117,Hydra,,0.534,14.883167138,4.0665232054
84737,UrsaMajor,,0.619,18.4297825286,3.7523989471
84999,UrsaMajor,,0.291,35.2733686067,1.0427653161
85217,Sextans,,0.479,45.9136822773,2.9302893771
85376,Leo,,0.229,40.1606425703,2.2709967355
85503,Leo,Rasalas,1.222,40.7830342577,0.8276023292
86146,LeoMinor,,0.481,28.8933834152,2.8060079965
86629,Antlia,,0.3,32.605151614,2.6635688799
86728,LeoMinor,,0.676,14.8942508192,4.5049066846
87141,UrsaMajor,,0.507,47.2813238771,2.3365518586
87696,LeoMinor,,0.19,27.9485746227,2.2582016812
87901,Leo,Regulus,-0.087,23.758612497,-0.5191053713
88215,Hydra,,0.368,27.3149412729,3.1179986444
88284,Hydra,,1.007,35.1617440225,0.8796479603
88697,Sextans,,0.496,48.309178744,3.7898517273
88824,Vela,,0.257,49.850448654,1.7816546434
88955,Vela,,0.051,31.525851198,1.3566658932
88986,LeoMinor,,0.635,32,3.9342501084
89010,Leo,,0.655,30.3582270795,3.5386179742
89021,UrsaMajor,Tania Borealis,0.029,41.203131438,0.3753488817
89125,Leo,,0.5,22.7221086117,4.0277568428
89449,Leo,,0.452,21.1685012701,3.1515494447
89484,Leo,Algieba,1.128,38.5208012327,-0.9184765594
89569,Vela,,0.481,35.8294518094,3.0287991824
89571,Camelopardalis,,0.244,40.7830342577,2.4676023292
89744,UrsaMajor,,0.531,38.9863547758,2.7754368472
90089,Camelopardalis,,0.399,21.4868929953,3.5891318948
90132,Antlia,,0.251,40.4858299595,2.3034847663
90537,LeoMinor,,0.908,44.7627573859,0.9454158439
90589,Carina,,0.369,16.2153397114,2.9403697421
90839,UrsaMajor,,0.541,12.8501670522,4.2754561323
91312,UrsaMajor,,0.222,34.3288705802,2.0417024231
91324,Vela,,0.5,21.8722659668,3.1905311086
